,shop_name,shop_address,shop_lat,shop_lng,types,zip_code
0,ALDI,"615 Gallatin Ave, Nashville, TN 37206",36.1832883,-86.7475518,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37206
1,ALDI,"135 S. Gallatin Pike, Madison, TN 37115",36.2616696,-86.7115143,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37115
2,ALDI,"405 American Rd, Nashville, TN 37209",36.1449595,-86.8740361,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37209
3,ALDI,"3758 Nolensville Pike, Nashville, TN 37211",36.0902874,-86.7323144,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37211
4,ALDI,"7035 Hwy 70 S, Nashville, TN 37221",36.0750427,-86.917644,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37221
5,ALDI,"4751 Lebanon Pike, Hermitage, TN 37076",36.2142692,-86.5917351,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37076
6,ALDI,"217 Indian Lake Blvd #700, Hendersonville, TN 37075",36.3214788,-86.6017281,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37075
7,ALDI,"1911 Ransom Pl, Nashville, TN 37217",36.088124,-86.6508077,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37217
8,ALDI,"7117 Southpoint Pkwy, Brentwood, TN 37027",35.994983,-86.68686,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37027
9,ALDI,"1701 Mallory Ln, Brentwood, TN 37027",35.9660746,-86.8148948,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37027
10,ALDI,"209 S Royal Oaks Blvd, Franklin, TN 37064",35.9120197,-86.8318444,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37064
11,ALDI,"571 Village Green Dr, Gallatin, TN 37066",36.3780032,-86.4743124,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37066
12,ALDI,"4917 Main St, Spring Hill, TN 37174",35.7764173,-86.9174834,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37174
13,ALDI,"315 N Mt Juliet Rd, Mt. Juliet, TN 37122",36.1761673,-86.5117818,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37122
14,ALDI,"3438 Tom Austin Hwy, Springfield, TN 37172",36.4868328,-86.8846556,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37172
15,ALDI,"407 S Lowry St, Smyrna, TN 37167",35.9716343,-86.5078396,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37167
16,Bi-Rite,"717 25th Ave N, Nashville, TN 37208",36.1594967,-86.8140176,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37208
17,Bi-Rite,"3116 Belmont Blvd, Nashville, TN 37212",36.117707,-86.7967994,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37212
18,Bi-Rite,"3302 Nolensville Pike, Nashville, TN 37211",36.1014506,-86.7401198,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37211
19,Bordeaux Food,"3205 Clarksville Pike, Nashville, TN 37218",36.193048,-86.832462,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37218
20,Food Lion,"3636 Bell Rd, Nashville, TN 37214",36.1504959,-86.6272429,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37214
21,Food Lion,"936 Richards Rd, Antioch, TN 37013",36.0680026,-86.6813001,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37013
22,Food Lion,"471 E Main St, Gallatin, TN 37066",36.3900714,-86.4360845,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37066
23,Food Lion,"314 Frey St, Ashland City, TN 37015",36.2958639,-87.0479983,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37015
24,Food Lion,"304 S Broadway, Portland, TN 37148",36.5787216,-86.5142494,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37148
25,Food Lion,"11459 Old Nashville Hwy, Smyrna, TN 37167",35.9567709,-86.5195602,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37167
26,Food Lion,"5341 Main St, Spring Hill, TN 37174",35.7449949,-86.9404659,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37174
27,Food Lion,"5021 Trotwood Ave Ste 7, Columbia, TN 38401",35.5880896,-87.0977211,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",38401
